Processor,Display,Video graphics,Hard drive,Storage,RAM,Display Resolution,Screen size,Screen Height,Screen Width,Display Refresh Rate,CPU,GPU,Weight,Price
Intel Core Ultra 9 285HX,"18"" 16:10 UHD+ (3840x2400), MiniLED, 120Hz, 100% DCI-P3 (Typ.), IPS-Level panel",Nvidia GeForce RTX 5090 24GB,"6TB, 2TB NVMe PCIe Gen5x4 SSD w/o DRAM + 2TB NVMe PCIe Gen4x4 SSD x2",512,96,3840x2400,18.0,2400,3840,120,8290,5090,3.0,320000.0
Intel Core i9-14900HX,"15.6"" QHD (2560*1440), 165Hz DCI-P3 100% typical",Nvidia GeForce RTX 5070 8GB,1TB NVMe PCIe SSD Gen4x4,512,16,2560*1440,15.6,1440,2560,165,14900,5070,2.0,79999.0
Intel Core I5-13420H,15.6'' Inch FHD IPS LED backlight aspect ratio 16:9 refresh rate 144 Hz,Nvidia GeForce RTX 4050 6GB,512 GB SSD,512,8,1920x1080,15.6,1080,1920,144,13420,4050,2.0,39999.0
Intel Core 7 240H,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut",NVIDIA(R) GeForce RTX(TM) 5050,512GB M.2 PCIe NVMe SSD,512,16,2560 x 1600,16.0,1600,2560,120,8290,5050,2.0,57999.0
Intel Core 9 270H,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut",Nvidia GeForce RTX 5060 8GB,1TB M.2 PCIe NVMe SSD,512,16,2560 x 1600,16.0,1600,2560,120,8290,5060,2.0,89999.0
Intel Core 7 240H,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 1 00% sRGB color gamut",Nvidia GeForce RTX 5060,1TB M.2 PCIe NVMe SSD,512,32,2560 x 1600,16.0,1600,2560,120,8290,5060,2.0,67999.0
Intel Core 7 240H,"16"" WQXGA 120Hz, 300 nits, ComfortView Plus, 100% sRGB color gamut",Nvidia GeForce RTX 5050,1TB M.2 PCIe NVMe SSD,512,16,2560 x 1600,16.0,1600,2560,120,8290,5050,2.0,57999.0
Intel® Core™ i7-13620H,"39.6 cm (15.6"") diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",NVIDIA® GeForce RTX™ 3050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,39.6,1080,1920,144,13620,3050,2.0,40999.0
Intel® Core™ i7-14700HX,16.1''inch FHD,NVIDIA® GeForce RTX™ 4050,512 GB PCIe® Gen4 NVMe™ TLC M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,14700,4050,2.0,51499.0
Intel® Core™ i7-13620H,15.6'' Inch FHD,NVIDIA® GeForce RTX™ 4050,512 GB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,15.6,1080,1920,144,13620,4050,2.0,47777.0
Intel® Core™ i5-12450HX,"15.6"" FHD (1920x1080) IPS 300nits Anti-glare, 100% sRGB, 144Hz",Nvidia GeForce RTX 3050 6GB,512GB SSD M.2 2242 PCIe® 4.0x4 NVMe®,512,1,1920 x 1080,15.6,1080,1920,144,12450,3050,1.0,31999.0
Intel® Core™ i5-14450HX,"16.1″diagonal, FHD , 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",NVIDIA® GeForce RTX™ 3050,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080,16.1,1080,1920,144,14450,3050,2.0,39666.0
Intel® Core™ i5-14450HX,"16.1″ diagonal, FHD, 144 Hz, IPS, micro-edge, anti-glare, 300 nits, 62.5% sRGB",NVIDIA® GeForce RTX™ 3050,1 TB PCIe® Gen4 NVMe™ M.2 SSD,512,16,1920 x 1080),16.1,1080,1920,144,14450,3050,2.0,39666.0
